FastqSymbol,ASCIICode,Qscore,NovaSeqScore,NovaSeqSymbol
!,33,0,12,-
"""",34,1,12,-
#,35,2,12,-
$,36,3,12,-
%,37,4,12,-
&,38,5,12,-
',39,6,12,-
(,40,7,12,-
),41,8,12,-
*,42,9,12,-
+,43,10,12,-
",",44,11,12,-
-,45,12,12,-
.,46,13,12,-
/,47,14,12,-
0,48,15,23,8
1,49,16,23,8
2,50,17,23,8
3,51,18,23,8
4,52,19,23,8
5,53,20,23,8
6,54,21,23,8
7,55,22,23,8
8,56,23,23,8
9,57,24,23,8
:,58,25,23,8
;,59,26,23,8
<,60,27,23,8
=,61,28,23,8
>,62,29,23,8
?,63,30,23,8
@,64,31,37,F
A,65,32,37,F
B,66,33,37,F
C,67,34,37,F
D,68,35,37,F
E,69,36,37,F
F,70,37,37,F
G,71,38,37,F
H,72,39,37,F
I,73,40,37,F
